Date,NVDA.O (TRDPRC_1),JPM (TRDPRC_1),GS (TRDPRC_1),AAPL.O (TRDPRC_1),MSFT.O (TRDPRC_1),TSLA.O (TRDPRC_1),META.O (TRDPRC_1),GOOGL.O (TRDPRC_1),BLK (TRDPRC_1),BX (TRDPRC_1),TSM (TRDPRC_1),XAU= (BID),AMZN.O (TRDPRC_1),WMT (TRDPRC_1),COST.O (TRDPRC_1),NKE (TRDPRC_1),PFE (TRDPRC_1),TSN (TRDPRC_1),SPY (TRDPRC_1),F (TRDPRC_1)
,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
10/9/2025,177.33,300.54,769.58,226.79,500.37,347.79,751.98,239.17,1102.89,178.23,260.44,3640.386,230.33,100.41,956.29,74.25,24.57,55.42,652.21,11.42
09/9/2025,170.76,297.85,763.92,234.35,498.41,346.97,765.7,239.63,1105.67,173.17,250.92,3626.136,238.24,102.29,979.25,73.6,24.71,55.84,650.33,11.49
08/9/2025,168.31,292.91,741.85,237.88,498.2,346.4,752.3,234.04,1104.92,173.3,247.19,3635.3601,235.84,102.28,971.85,74.15,24.55,55.9,648.83,11.69
05/9/2025,167.02,294.38,738.21,239.69,495,350.84,752.45,235,1099.15,169.99,243.41,3586.3591,232.33,100.51,963.48,73.91,24.88,56.2,647.24,11.74
04/9/2025,171.66,303.82,748.9,239.78,507.97,338.53,748.65,232.3,1108.76,169.9,235.21,3545.3333,235.68,100.93,955.9,75.35,24.54,56.18,649.12,11.68
03/9/2025,170.62,299.51,730.56,238.47,505.35,334.09,737.05,230.66,1099.49,167.34,231.39,3558.7222,225.99,99.44,949.78,74.74,24.79,56.35,643.74,11.62
02/9/2025,170.78,299.7,730.85,229.72,505.12,329.36,735.11,211.35,1114.77,169.55,228.39,3532.9294,225.34,97.85,938.82,74.29,24.98,56.54,640.27,11.72
29/8/2025,174.18,301.42,745.25,232.14,506.69,333.87,738.7,212.91,1127.14,171.4,230.87,3446.7451,229,96.98,943.32,77.37,24.76,56.78,645.05,11.77
28/8/2025,180.17,301.07,751.22,232.56,509.64,345.98,751.11,211.64,1130.48,172.02,238.27,3416.6885,231.6,96.11,944.96,77.92,24.6,56.12,648.92,11.71
27/8/2025,181.6,299.28,749.67,230.49,506.74,349.6,747.38,207.48,1131.63,171.64,239.29,3396.8875,229.12,96.08,949.52,78.06,25.07,57.43,646.63,11.91
